Country,DateTime,CarbonIntensity,UpdatedAt,CreatedAt,EmissionFactorType,IsEstimated,EstimationMethod
AU-QLD,2023-06-20T02:00:00.000Z,404,2023-06-20T03:52:36.195Z,2023-06-17T02:54:19.954Z,lifecycle,False,
AU-QLD,2023-06-20T03:00:00.000Z,430,2023-06-20T04:54:50.522Z,2023-06-17T03:55:15.471Z,lifecycle,False,
AU-QLD,2023-06-20T04:00:00.000Z,468,2023-06-20T05:53:07.268Z,2023-06-17T04:52:52.097Z,lifecycle,False,
AU-QLD,2023-06-20T05:00:00.000Z,544,2023-06-20T06:54:28.836Z,2023-06-17T05:57:44.284Z,lifecycle,False,
AU-QLD,2023-06-20T06:00:00.000Z,625,2023-06-20T07:54:20.738Z,2023-06-17T06:57:32.268Z,lifecycle,False,
AU-QLD,2023-06-20T07:00:00.000Z,672,2023-06-20T08:56:35.742Z,2023-06-17T07:54:53.755Z,lifecycle,False,
AU-QLD,2023-06-20T08:00:00.000Z,673,2023-06-20T09:56:17.527Z,2023-06-17T09:03:18.822Z,lifecycle,False,
AU-QLD,2023-06-20T09:00:00.000Z,676,2023-06-20T10:53:13.090Z,2023-06-17T09:57:39.820Z,lifecycle,False,
AU-QLD,2023-06-20T10:00:00.000Z,690,2023-06-20T11:53:09.688Z,2023-06-17T10:58:40.014Z,lifecycle,False,
AU-QLD,2023-06-20T11:00:00.000Z,700,2023-06-20T13:00:39.941Z,2023-06-17T11:57:06.837Z,lifecycle,False,
AU-QLD,2023-06-20T12:00:00.000Z,700,2023-06-20T13:00:35.129Z,2023-06-17T12:55:55.552Z,lifecycle,True,TIME_SLICER_AVERAGE
AU-QLD,2023-06-20T13:00:00.000Z,705,2023-06-20T12:59:59.535Z,2023-06-17T13:53:36.940Z,lifecycle,True,TIME_SLICER_AVERAGE
AU-SA,2023-06-19T14:00:00.000Z,507,2023-06-19T15:57:11.598Z,2023-06-16T14:57:20.237Z,lifecycle,False,
AU-SA,2023-06-19T15:00:00.000Z,512,2023-06-19T16:57:35.573Z,2023-06-16T15:56:16.657Z,lifecycle,False,
AU-SA,2023-06-19T16:00:00.000Z,527,2023-06-19T17:53:00.813Z,2023-06-16T16:53:54.812Z,lifecycle,False,
AU-SA,2023-06-19T17:00:00.000Z,528,2023-06-19T18:55:21.801Z,2023-06-16T17:55:39.976Z,lifecycle,False,
AU-SA,2023-06-19T18:00:00.000Z,523,2023-06-19T19:51:57.706Z,2023-06-16T18:53:16.775Z,lifecycle,False,
AU-SA,2023-06-19T19:00:00.000Z,498,2023-06-19T20:52:06.077Z,2023-06-16T19:58:34.694Z,lifecycle,False,
AU-SA,2023-06-19T20:00:00.000Z,466,2023-06-19T21:53:16.934Z,2023-06-16T20:58:03.977Z,lifecycle,False,
AU-SA,2023-06-19T21:00:00.000Z,430,2023-06-19T22:56:39.161Z,2023-06-16T21:52:52.954Z,lifecycle,False,
AU-SA,2023-06-19T22:00:00.000Z,424,2023-06-19T23:57:39.525Z,2023-06-16T22:53:42.522Z,lifecycle,False,
AU-SA,2023-06-19T23:00:00.000Z,379,2023-06-20T00:53:20.648Z,2023-06-16T23:57:18.618Z,lifecycle,False,
AU-SA,2023-06-20T00:00:00.000Z,300,2023-06-20T01:54:01.440Z,2023-06-17T00:53:39.259Z,lifecycle,False,
AU-SA,2023-06-20T01:00:00.000Z,293,2023-06-20T03:01:02.503Z,2023-06-17T02:01:51.034Z,lifecycle,False,
AU-SA,2023-06-20T02:00:00.000Z,263,2023-06-20T03:53:14.475Z,2023-06-17T02:54:18.301Z,lifecycle,False,
AU-SA,2023-06-20T03:00:00.000Z,223,2023-06-20T04:54:50.522Z,2023-06-17T03:55:35.374Z,lifecycle,False,
AU-SA,2023-06-20T04:00:00.000Z,212,2023-06-20T05:53:02.367Z,2023-06-17T04:52:43.569Z,lifecycle,False,
AU-SA,2023-06-20T05:00:00.000Z,252,2023-06-20T06:54:32.605Z,2023-06-17T05:58:25.021Z,lifecycle,False,
AU-SA,2023-06-20T06:00:00.000Z,345,2023-06-20T07:54:00.718Z,2023-06-17T06:57:26.142Z,lifecycle,False,
AU-SA,2023-06-20T07:00:00.000Z,401,2023-06-20T08:57:22.021Z,2023-06-17T07:54:49.029Z,lifecycle,False,
AU-SA,2023-06-20T08:00:00.000Z,388,2023-06-20T09:56:17.527Z,2023-06-17T09:03:33.915Z,lifecycle,False,
AU-SA,2023-06-20T09:00:00.000Z,332,2023-06-20T10:53:27.927Z,2023-06-17T09:57:39.820Z,lifecycle,False,
AU-SA,2023-06-20T10:00:00.000Z,300,2023-06-20T11:53:09.531Z,2023-06-17T10:58:40.014Z,lifecycle,False,
AU-SA,2023-06-20T11:00:00.000Z,269,2023-06-20T13:00:35.129Z,2023-06-17T11:58:24.182Z,lifecycle,False,
AU-SA,2023-06-20T12:00:00.000Z,269,2023-06-20T13:00:39.941Z,2023-06-17T12:56:11.098Z,lifecycle,True,TIME_SLICER_AVERAGE
AU-SA,2023-06-20T13:00:00.000Z,265,2023-06-20T13:00:18.822Z,2023-06-17T13:53:32.858Z,lifecycle,True,TIME_SLICER_AVERAGE
